Séance,COURS_CLOTURE,COURS_AJUSTE,EVOLUTION,QUANTITE_ECHANGE,VOLUME
05/10/2022,"115,00","115,00","0,44",23169,"2657076,8"
04/10/2022,"114,50","114,50","0,00",56880,"6512517,65"
03/10/2022,"114,50","114,50","0,17",3515,"401583,95"
30/09/2022,"114,30","114,30","0,18",763785,"87292104,35"
29/09/2022,"114,10","114,10","-0,78",82847,"9481809,15"
28/09/2022,"115,00","115,00","-0,69",502918,"57838590,35"
27/09/2022,"115,80","115,80","-1,66",351425,"40827681,2"
26/09/2022,"117,75","117,75","-0,25",861729,101664776
23/09/2022,"118,05","118,05","-0,30",767978,"90632253,45"
22/09/2022,"118,40","118,40","0,04",224784,"26560868,45"
21/09/2022,"118,35","118,35","0,30",66655,"7868026,35"
20/09/2022,"118,00","118,00","0,00",36668,"4326824,4"
19/09/2022,"118,00","118,00","-0,08",22278,2629029
16/09/2022,"118,10","118,10","-0,34",70661,8350887
15/09/2022,"118,50","118,50","0,08",83148,"9856113,5"
14/09/2022,"118,40","118,40","-0,08",77298,"9127288,7"
13/09/2022,"118,50","118,50","-0,04",33461,"3966537,45"
12/09/2022,"118,55","118,55","-0,38",29999,"3558876,8"
09/09/2022,"119,00","119,00","0,34",70488,"8390996,6"
08/09/2022,"118,60","118,60","0,47",14826,"1754379,6"
07/09/2022,"118,05","118,05","0,04",3794,"448623,9"
06/09/2022,"118,00","118,00","0,94",79108,"9317285,2"
05/09/2022,"121,70","121,70","0,45",37826,"4603349,6"
02/09/2022,"121,15","121,15","-0,33",36320,"4409006,3"
01/09/2022,"121,55","121,55","0,45",18054,"2185095,6"
31/08/2022,"121,00","121,00","0,79",180507,"21792311,45"
30/08/2022,"120,05","120,05","-0,79",130266,"15643739,8"
29/08/2022,"121,00","121,00","-0,41",6584,798228
26/08/2022,"121,50","121,50","0,41",52612,"6390354,75"
25/08/2022,"121,00","121,00","0,00",4562,"552833,9"
24/08/2022,"121,00","121,00","0,41",12096,"1456088,35"
23/08/2022,"120,50","120,50","1,26",38923,"4671749,9"
22/08/2022,"119,00","119,00","-1,94",180306,"21479863,4"
19/08/2022,"121,35","121,35","-0,53",59895,"7207114,25"
18/08/2022,"122,00","122,00","-0,29",16209,"1981222,05"
17/08/2022,"122,35","122,35","-0,61",38267,"4711446,65"
16/08/2022,"123,10","123,10","1,65",60427,"7428637,3"
15/08/2022,"121,10","121,10","0,08",20184,"2444995,3"
