Séance,Instrument,Variation
07/10/2019,"11434,18","-0,11"
08/10/2019,"11391,99","-0,37"
09/10/2019,"11366,31","-0,23"
10/10/2019,"11315,63","-0,45"
11/10/2019,"11362,98","0,42"
14/10/2019,"11376,17","0,12"
15/10/2019,"11373,90","-0,02"
16/10/2019,"11374,36","0,00"
17/10/2019,"11447,35","0,64"
18/10/2019,"11507,74","0,53"
21/10/2019,"11470,29","-0,33"
22/10/2019,"11517,88","0,41"
23/10/2019,"11537,79","0,17"
24/10/2019,"11561,20","0,20"
25/10/2019,"11574,59","0,12"
28/10/2019,"11517,32","-0,49"
29/10/2019,"11487,00","-0,26"
30/10/2019,"11534,23","0,41"
31/10/2019,"11484,30","-0,43"
01/11/2019,"11575,56","0,79"
04/11/2019,"11552,98","-0,19"
05/11/2019,"11515,32","-0,33"
07/11/2019,"11575,52","0,52"
08/11/2019,"11578,68","0,03"
12/11/2019,"11562,10","-0,14"
13/11/2019,"11576,89","0,13"
14/11/2019,"11567,14","-0,08"
15/11/2019,"11626,55","0,51"
19/11/2019,"11645,44","0,16"
20/11/2019,"11619,94","-0,22"
21/11/2019,"11744,35","1,07"
22/11/2019,"11809,15","0,55"
25/11/2019,"11781,45","-0,23"
26/11/2019,"11807,93","0,22"
27/11/2019,"11839,24","0,27"
28/11/2019,"11834,27","-0,04"
29/11/2019,"11822,32","-0,10"
02/12/2019,"11752,12","-0,59"
03/12/2019,"11718,89","-0,28"
04/12/2019,"11730,96","0,10"
05/12/2019,"11694,66","-0,31"
06/12/2019,"11764,13","0,59"
09/12/2019,"11753,79","-0,09"
10/12/2019,"11812,80","0,50"
11/12/2019,"11884,01","0,60"
12/12/2019,"11900,56","0,14"
13/12/2019,"11973,63","0,61"
16/12/2019,"11962,05","-0,10"
17/12/2019,"12030,95","0,58"
18/12/2019,"12024,58","-0,05"
19/12/2019,"12081,08","0,47"
20/12/2019,"12165,65","0,70"
23/12/2019,"12200,52","0,29"
24/12/2019,"12296,98","0,79"
25/12/2019,"12275,30","-0,18"
26/12/2019,"12192,79","-0,67"
27/12/2019,"12189,28","-0,03"
30/12/2019,"12193,95","0,04"
31/12/2019,"12171,90","-0,18"
02/01/2020,"12111,07","-0,50"
03/01/2020,"12154,94","0,36"
06/01/2020,"12138,94","-0,13"
07/01/2020,"12138,78","0,00"
08/01/2020,"12214,59","0,62"
09/01/2020,"12392,41","1,46"
10/01/2020,"12311,35","-0,65"
13/01/2020,"12264,45","-0,38"
14/01/2020,"12326,73","0,51"
15/01/2020,"12337,54","0,09"
16/01/2020,"12391,34","0,44"
17/01/2020,"12486,85","0,77"
20/01/2020,"12487,31","0,00"
21/01/2020,"12521,23","0,27"
22/01/2020,"12633,57","0,90"
23/01/2020,"12577,83","-0,44"
24/01/2020,"12600,45","0,18"
27/01/2020,"12597,09","-0,03"
28/01/2020,"12577,50","-0,16"
29/01/2020,"12533,16","-0,35"
30/01/2020,"12468,24","-0,52"
31/01/2020,"12531,90","0,51"
03/02/2020,"12288,16","-1,94"
04/02/2020,"12315,14","0,22"
05/02/2020,"12312,97","-0,02"
06/02/2020,"12180,99","-1,07"
07/02/2020,"12165,23","-0,13"
10/02/2020,"12186,39","0,17"
11/02/2020,"12034,32","-1,25"
12/02/2020,"12027,31","-0,06"
13/02/2020,"12204,42","1,47"
14/02/2020,"12340,24","1,11"
17/02/2020,"12338,46","-0,01"
18/02/2020,"12263,19","-0,61"
19/02/2020,"12274,85","0,10"
20/02/2020,"12279,24","0,04"
21/02/2020,"12506,96","1,85"
24/02/2020,"12406,97","-0,80"
25/02/2020,"12442,24","0,28"
26/02/2020,"12410,25","-0,26"
27/02/2020,"12380,29","-0,24"
28/02/2020,"12260,94","-0,96"
02/03/2020,"12189,28","-0,58"
03/03/2020,"11961,71","-1,87"
04/03/2020,"11881,83","-0,67"
05/03/2020,"11835,47","-0,39"
06/03/2020,"11474,03","-3,05"
09/03/2020,"10806,41","-5,82"
10/03/2020,"11395,21","5,45"
11/03/2020,"11339,46","-0,49"
12/03/2020,"10579,76","-6,70"
13/03/2020,"10524,05","-0,53"
16/03/2020,"9596,00","-8,82"
17/03/2020,"9298,54","-3,10"
18/03/2020,"8987,89","-3,34"
19/03/2020,"9291,60","3,38"
20/03/2020,"9609,27","3,42"
23/03/2020,"9953,45","3,58"
